iter	Logloss
0	0.6337760728
1	0.5902979207
2	0.5580934893
3	0.5288203861
4	0.5076372324
5	0.491981319
6	0.4793698963
7	0.4684254478
8	0.4593485352
9	0.4516037917
10	0.4444997226
11	0.4393586729
12	0.434080959
13	0.429618749
14	0.425836148
15	0.4225920499
16	0.4201307144
17	0.4175990733
18	0.4162649404
19	0.4154161802
20	0.413663228
21	0.4119986236
22	0.4103980924
23	0.4095871262
24	0.4084813491
25	0.4072500366
26	0.4065112435
27	0.4058652519
28	0.404550525
29	0.4038548365
30	0.4030552887
31	0.402603956
32	0.4020318127
33	0.4020304304
34	0.4017108221
35	0.4006978518
36	0.4004670571
37	0.4000487993
38	0.3993997579
39	0.3993912391
40	0.3993770472
41	0.3989211523
42	0.3989124592
43	0.3985513428
44	0.3984836627
45	0.3977891572
46	0.3977688076
47	0.3977417516
48	0.3977216148
49	0.3973957519
50	0.3971779662
51	0.3965163535
52	0.3963991692
53	0.3961240202
54	0.3959784471
55	0.3957165196
56	0.3955995367
57	0.3954007354
58	0.3947570376
59	0.3941452768
60	0.393847069
61	0.393591706
62	0.3931497921
63	0.3931317422
64	0.3927179489
65	0.3923603423
66	0.3923445305
67	0.3922575089
68	0.3922335659
69	0.3921842841
70	0.392159175
71	0.3919729074
72	0.3914254459
73	0.3908633633
74	0.3904553049
75	0.3903667742
76	0.3902065003
77	0.3899861203
78	0.3899672922
79	0.3891247236
80	0.388902626
81	0.3886256473
82	0.3882975593
83	0.3877453116
84	0.3875853594
85	0.3875544989
86	0.3872093134
87	0.3869227922
88	0.3868039656
89	0.3866275487
90	0.3863829066
91	0.3862686127
92	0.385980711
93	0.3857629426
94	0.3856968717
95	0.3856656355
96	0.3853964652
97	0.3853682663
98	0.384666644
99	0.3845251668
